Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
slimphp/Slim,2010-09-21 01:17:06 UTC,2018-09-17 01:55:05 UTC,9216,PHP,4.05
Semantic-Org/Semantic-UI,2013-04-08 23:32:04 UTC,2018-12-05 10:05:54 UTC,43704,JavaScript,4.06
emberjs/ember.js,2011-05-25 23:39:40 UTC,2018-12-21 17:41:16 UTC,20297,JavaScript,4.06
facebook/rocksdb,2012-11-30 06:16:18 UTC,2018-12-11 03:14:12 UTC,12286,C++,4.07
DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45 UTC,2018-12-18 23:52:56 UTC,19182,TypeScript,4.07
jeremyevans/sequel,2008-03-31 05:41:15 UTC,2018-12-02 01:17:52 UTC,3806,Ruby,4.08
Netflix/Hystrix,2012-11-19 20:14:46 UTC,2018-12-20 21:31:45 UTC,16001,Java,4.08
nolimits4web/swiper,2012-03-14 19:11:45 UTC,2018-12-20 16:50:08 UTC,18485,JavaScript,4.09
Automattic/mongoose,2010-04-06 21:39:05 UTC,2018-12-14 18:14:02 UTC,17545,JavaScript,4.09
cakephp/cakephp,2010-05-08 14:38:22 UTC,2018-12-21 01:11:00 UTC,7735,PHP,4.1
Tencent/weui,2014-12-18 04:09:54 UTC,2018-12-01 13:40:06 UTC,20736,CSS,4.1
facebook/jest,2013-12-10 00:18:04 UTC,2018-12-19 14:05:47 UTC,22335,JavaScript,4.11
moment/moment,2011-03-01 02:46:06 UTC,2018-12-21 18:37:54 UTC,39597,JavaScript,4.11
scribejava/scribejava,2010-09-05 19:11:40 UTC,2018-11-30 05:23:43 UTC,4648,Java,4.12
phoenixframework/phoenix,2014-01-20 14:14:11 UTC,2018-12-21 20:30:46 UTC,12972,Elixir,4.12
mozilla/pdf.js,2011-04-26 06:32:03 UTC,2018-12-04 23:24:39 UTC,24443,JavaScript,4.13
Alluxio/alluxio,2012-12-21 17:43:46 UTC,2018-12-04 02:52:36 UTC,3769,Java,4.13
fullstackio/FlappySwift,2014-06-03 05:04:12 UTC,2018-11-20 05:31:13 UTC,8736,Swift,4.14
kubernetes/kubernetes,2014-06-06 22:56:04 UTC,2018-12-22 05:32:17 UTC,45709,Go,4.14
koajs/koa,2013-07-20 18:53:45 UTC,2018-12-01 09:45:22 UTC,24073,JavaScript,4.15
